Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,,"BASIC SCENARIO:
INTERSECTION",,"BASIC SCENARIO:
INTERSECTION",
description,1,,"Aralin natin ang intersection.

Kumanan sa susunod na intersection. Tandaan na 20 kph ang speed limit sa intersection.",,"Let's learn about the intersection.

Turn right on the next intersection. Note that 20 kph is the speed limit in the intersection.",
objective,2,,Kumanan sa intersection.,,Turn right on the intersection.,
good_rightTurnTitle,3,,KUMALIWA,,TURN LEFT,
good_rightTurnDescription,4,,"Tandaan na tuwing kakanan sa intersection, manatili sa kanang lane. Ngayon, bumalik sa intersection at kumaliwa.",,"Remember that when turning right on an intersection, make sure to stay on the right lane.  Next, go back to the intersection and turn left.",
bad1_rightTurnTitle,5,,"PAALALA:
KUMANAN",,"REMINDER:
TURN RIGHT",
bad1_rightTurnDescription,6,,Nalampasan mo ang kanang likuan.,,You missed the right turn.,
bad2_rightTurnTitle,7,,"PAALALA:
KUMANAN",,"REMINDER:
TURN RIGHT",
bad2_rightTurnDescription,8,,Kumaliwa ka imbis na kumanan.,,You performed a left turn instead of a right turn.,
bad3_rightTurnTitle,9,,"PAALALA:
KUMANAN",,"REMINDER:
TURN RIGHT",
bad3_rightTurnDescription,10,,Nag-U-turn ka imbis na kumanan.,,You performed a U-turn instead of a right turn.,
leftTurnTitle,11,,KUMALIWA,,TURN LEFT,
leftTurnDescription,12,,"Tandaan na tuwing kakanan sa intersection, manatili sa kanang lane. Ngayon, bumalik sa intersection at kumaliwa.",,"Remember that when turning right on an intersection, make sure to stay on the right lane.  Next, go back to the intersection and turn left.",
leftTurnObjective,13,,Kumaliwa sa intersection.,,Turn left on the intersection.,
good_leftTurnTitle,14,,MAG-U-TURN,,DO A U-TURN,
good_leftTurnDescription,15,,"Tandaan na tuwing kakaliwa sa intersection, manatili sa kaliwang lane. Ngayon, bumalik sa intersection at mag-U-turn naman.",,"Remember that when turning left on an intersection, make sure to stay on the left lane.  Next, go back to the intersection and perform a U-turn.",
bad1_leftTurnTitle,16,,"PAALALA:
KUMALIWA",,"REMINDER:
TURN LEFT",
bad1_leftTurnDescription,17,,Nalampasan mo ang kaliwang likuan.,,You missed the left turn.,
bad2_leftTurnTitle,18,,"PAALALA:
KUMALIWA",,"REMINDER:
TURN LEFT",
bad2_leftTurnDescription,19,,Kumanan ka imbis na kumaliwa.,,You performed a right turn instead of a left turn.,
bad3_leftTurnTitle,20,,"PAALALA:
KUMALIWA",,"REMINDER:
TURN LEFT",
bad3_leftTurnDescription,21,,Nag-U-turn ka imbis na kumaliwa.,,You performed a U-turn instead of a left turn.,
uTurnTitle,22,,MAG-U-TURN,,DO A U-TURN,
uTurnDescription,23,,"Tandaan na tuwing kakaliwa sa intersection, manatili sa kaliwang lane. Ngayon, bumalik sa intersection at mag-U-turn naman.",,"Remember that when turning left on an intersection, make sure to stay on the left lane.  Next, go back to the intersection and perform a U-turn.",
uTurnObjective,24,,Mag-U-turn sa intersection.,,Make a U-turn on the intersection.,
good_uTurnTitle,25,,KUMALIWA,,TURN LEFT,
good_uTurnDescription,26,,"Tandaan na tuwing kakanan sa intersection, manatili sa kanang lane. Ngayon, bumalik sa intersection at kumaliwa.",,"Remember that when turning right on an intersection, make sure to stay on the right lane.  Next, go back to the intersection and turn left.",
bad1_uTurnTitle,27,,"PAALALA:
MAG-U-TURN",,"REMINDER:
DO A U-TURN",
bad1_uTurnDescription,28,,Kumaliwa ka imbis na mag-U-turn.,,You performed a left turn instead of a U-turn.,
bad2_uTurnTitle,29,,"PAALALA:
MAG-U-TURN",,"REMINDER:
DO A U-TURN",
bad2_uTurnDescription,30,,Nalampasan mo ang U-turn slot.,,You missed the U-turn.,
bad3_uTurnTitle,31,,"PAALALA:
MAG-U-TURN",,"REMINDER:
DO A U-TURN",
bad3_uTurnDescription,32,,Kumanan ka imbis na mag-U-turn.,,You performed a right turn instead of a U-turn.,
straightTitle,33,,DUMIRETSO,,GO STRAIGHT AHEAD,
straightDescription,34,,"Tandaan na mag-U-turn sa inner lane. Ngayon, bumalik sa intersection at dumiretso lang.",,"Remember to do a U-turn on the inner lane. Finally, return to the intersection and go straight through it.",
straightObjective,35,,Dumiretso sa intersection.,,Go straight through the intersection,
endTitle,36,,SUNDIN ANG TRAFFIC LIGHTS,,FOLLOW THE TRAFFIC LIGHTS,
endDescription,37,,"Tandaan na sundin ang traffic lights. At kahit wala, magmaneho pa rin nang mahinahon at maging mapagmasid sa ibang kotse sa daan.",,"Make sure to follow the traffic lights. And if there are none, drive carefully still and observe if there are oncoming vehicles before proceeding.",
