Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
blowbagetsInitialPrompt,0,,"Bago bumiyahe, siguraduhing gumagana ang mahahalagang bahagi ng motor para sa iyong kaligtasan. I-check ang B-L-O-W-B-A-G-E-T-S.",,"Before driving, make sure the important parts of your vehicle are working properly. Check B-L-O-W-B-A-G-E-T-S.",
batteryDefault,1,B,Subukan mong i-start ang iyong motor para makita ang kondisyon ng battery nito.,,Try to start your motorcycle to check the battery’s condition.,
batteryPass,2,,Ayos! Okay pa ang battery mo at nag-start ang iyong motor.,,Nice! Your battery is working and your motorcycle started properly.,
batteryFail,3,,Hala! Hindi nag-on ang motor mo. Mukhang kailangan mo nang ipatingin ang battery ng iyong motor at ipapalit na ito kung matagal na itong hindi napapalitan.,,Oh no! Your motorcycle didn’t start. You might need to have the battery checked and get it replaced if it hasn't been replaced in a long time.,
lightsFrontDefault,4,L,Buksan mo ang front lights ng iyong motor para makita kung ito ay gumaganam,,Turn on your front lights to see if they're working.,
lightsFrontPass,5,,Ayos! Mukhang gumagana ang front lights ng iyong motor.,,Nice! Your front lights seem to be working.,
lightsFrontFail,6,,Hala! Mukhang hindi gumagana ang front lights ng iyong motor. Siguraduhing mapaayos muna ito. ,,Oh no! It seems like your front lights are not working. Make sure to have them fixed first.,
lightsBackDefault,7,,Paandarin ang kahit aling brake para makita kung gumagana ang brake lights mo.,,Hold down any of the brakes to see if the brake lights are working.,
lightsBackPass,8,,Ayos! Mukhang gumagana ang brake lights ng iyong motor.,,Nice! Your brake lights seem to be working.,
lightsBackFail,9,,Hala! Mukhang hindi gumagana ang brake lights ng iyong motor. Siguraduhing mapaayos muna ito. ,,Oh no! It seems like your brake lights are not working. Make sure to have them fixed first.,
lightsBlinkersDefault,10,,Buksan mo ang iyong blinker lights para i-check kung ito ay gumagana.,,Turn on your blinker lights to see if they're working.,
lightsBlinkersPass,11,,Ayos! Gumagana nang maayos ang blinkers mo.,,Nice! Your blinkers are working fine.,
lightsBlinkersFail,12,,Hala! Hindi umiilaw ang blinkers mo. Siguraduhing mapaayos muna ito.,,Oh no! Your blinkers aren’t lighting up. Make sure to have them fixed first.,
oilDefault,13,O,I-check mo ang dip stick ng makina ng iyong motor para makita kung angkop pa ang dami ng langis nito.,,Check the dipstick of your motorcycle's engine to see if your oil level is at the right amount.,
oilPass,14,,Ayos! Sakto ang level ng langis sa makina ng iyong motor.,,Nice! Your engine oil level is just right.,
oilFail,15,,Hala! Mukhang nasobrahan o nagkulang ang langis sa loob ng makina ng motor mo. Siguraduhin mo munang tama ang level ng langis.,,Oh no! It seems like your engine oil level is either too much or too little. Make sure it's just right.,
waterDefault,16,W,I-check mo ang coolant level sa iyong motor para makita kung angkop ang dami nito.,,Check the coolant level of your motorcycle to make sure it's within the recommended amount.,
waterPass,17,,Ayos! Sakto ang coolant level sa motor mo.,,Nice! Your coolant level is just right.,
waterFail,18,,Hala! Mukhang nasobrahan o nagkulang ang coolant level ng motor mo. Siguraduhin mong nasa tamang level ang coolant para hindi mag-overheat ang makina mo.,,Oh no! It seems like your coolant level is either too high or too low. Make sure it's just right to prevent your engine from overheating.,
brakesDefault,19,B,I-check mo ang brake fluid levels sa iyong motor para makita kung angkop pa ang dami niyo.,,Check the brake fluid level of your motorcycle to see if there's still enough.,
brakesPass,20,,Ayos! Mukhang gumagana nang maayos ang brakes mo.,,Nice! Your brakes are working well.,
brakesFail,21,,Hala! Baka magloko ang brakes mo habang bumabyahe ka. Siguraduhing tama ang level ng brake fluid ng motor mo.,,Oh no! Your brakes might not work properly while riding. Make sure the brake fluid is at the right level.,
airFrontDefault,22,A,I-check mo ang front tire pressure kung tama lang ang tigas nito.,,Check the front tire pressure to see if it's firm enough.,
airFrontPass,23,,Ayos! Tama lang ang front tire pressure mo.,,Nice! The front tire pressure is just right.,
airFrontFail,24,,Hala! Masyadong matigas o malambot ang front tire mo. I-adjust mo ang tire pressure.,,Oh no! Your front tire is either too hard or too soft. Adjust the pressure accordingly.,
airBackDefault,25,,I-check mo ang rear tire pressure kung tama lang ang tigas nito.,,Check the rear tire pressure to see if it's firm enough.,
airBackPass,26,,Ayos! Tama lang ang rear tire pressure mo.,,Nice! The rear tire pressure is just right.,
airBackFail,27,,Hala! Masyadong matigas o malambot ang rear tire mo. I-adjust mo ang tire pressure.,,Oh no! Your rear tire is either too hard or too soft. Adjust the pressure accordingly.,
gasDefault,28,G,I-check mo kung may sapat na gas pa ang iyong motor.,,Check if your motorcycle still has enough gas.,
gasPass,29,,Ayos! Sapat pa ang gas ng iyong motor.,,Nice! Your motorcycle has enough gas.,
