Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,all caps,ADVANCED SCENARIO: COMMONWEALTH,,ADVANCED SCENARIO: COMMONWEALTH,
description,1,,Lumipat sa pinaka-kaliwang lane at mag-U-turn pa-kaliwa. Sundin ang mga regulasyon sa daan.,,Switch to the leftmost lane and make a U-turn to the left. Remember to follow road regulations.,
good_uTurnTitle,2,,Magandang pag-U-turn!,,Great U-turn!,
good_uTurnDescription,3,,"Ngayon, dumiretso ka sa dulo ng barikada at subukang bumalik sa motorcycle lane.",? unsure what barriers means here,"Now, drive until the end of the barriers and try to go back to the motorcycle lane!",
wrongWayTitle,4,,Wrong way! Bawal mag-Counterflow.,,Wrong Way! Stop Counterflowing.,
wrongWayDescription,5,,Ikaw ay nag-counterflow. Dumiretso sa kabilang direksyon.,,You are committing counterflow! Please drive the other way.,
bad_uTurnTitle,6,,Lumampas na ang U-turn Slot.,,U-turn Missed.,
bad_uTurnDescription,7,,Tandaan na dahan-dahang bumagal sa paglapit sa U-turn slot.,,Remember to gradually slow down when approaching a U-turn.,
bad_blinkerTitle,8,,Gamitin ang Blinkers Para mag-Signal ng Pagliko.,,Use the Blinkers to Signal the Turn.,
bad_blinkerDescription,9,,Kailangang i-signal ang kagustuhang lumiko nang 25 meters palang ang layo sa lilikuan.,,You should signal your intent to turn 25 meters away from the turn.,
bad_laneSwitchTitle,10,,Masyadong Nang Matagal na ang Pagpapalit ng Lane.,,Lane Switching Took too Long.,
bad_laneSwitchDescription,11,,Dahan dahan ngunit 'wag masyadong tagalan ang paglipat ng lane (papunta sa motorcycle lane).,,Carefully switch lanes and reach the motorcycle lane on time.,
missedTitle,12,,Hala.,,Uh oh.,
missedDescription,13,,Natagalan ka masyado magpalit ng lane!,,You failed to switch to the proper lane on time.,
