Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,,ADVANCED SCENARIO - EDSA,,Advanced Scenario - EDSA,ADVANCED SCENARIO - EDSA
description,1,,"Magdrive sa EDSA, ang pangalawang pinaka-accident prone na daan sa Metro Manila.",,"Let's drive through EDSA, the 2nd most accident prone road in Metro Manila.",
good_KamuningTitle,2,,Ang galing mo!,,Great!,
good_KamuningDescription,3,,Bumalik sa simula (lumiko pa-kanan sa pangalawang kanto).,,Go back to the starting area by turning right on the next two turns.,
bad1_KamuningTitle,4,,Ay nako!,,Uh oh!,
bad1_KamuningDescription,5,,"Maling daan! Kapag galing sa EDSA Service Road, dumiretso lang.",,You are going the wrong way. Your starting position is already in the EDSA Service Road so you should just continue driving forward.,
bad2_KamuningTitle,6,,Ay nako!,,Uh oh!,
bad2_KamuningDescription,7,,Wag kalimutang lumiko pa-kanan papuntang Kamuning Road.,,You missed the right turn to Kamuning Road.,
bad3_KamuningTitle,8,,Ay nako!,,Uh oh!,
bad3_KamuningDescription,9,,"Manatili sa EDSA Service Road, huwag pumasok sa elevated Maharlika Highway.",,You entered the elevated Maharlika Highway. Please stay on the EDSA Service Road,
maharlikaTitle,10,,Susunod na Pagsusubok,,Next Challenge,
maharlikaDescription,11,,"Ngayon, magmaneho sa elevated Maharlika Highway",,"This time, drive through the elevated Maharlika Highway.",
bad1_MaharlikaTitle,12,,Ay nako!,,Uh oh!,
bad1_MaharlikaDescription,13,,Wag kalimutang lumiko pa-kanan papuntang KF Street.,,You took a wrong right turn to KF Street.,
bad2_MaharlikaTitle,14,,Ay nako!,,Uh oh!,
bad2_MaharlikaDescription,15,,Huwag lumiko pa-kaliwa dito. Lumiko sa kanan para makabalik sa simula.,,"You took a left turn. To go back to the starting position, you should take a right turn instead.",
bad3_MaharlikaTitle,16,,Ang galing mo!,,Great!,
bad3_MaharlikaDescription,17,,Tandaang maghinay sa mga pababa daan dahil madaling maaksidente dito. Magpatuloy sa EDSA.,,Remember to slow down when going down slopes as they are areas prone to road crashes. Continue driving down EDSA.,
bad4_MaharlikaTitle,18,,Ay nako!,,Uh oh!,
bad4_MaharlikaDescription,19,,"Pumasok sa elevated Maharlika Highway, hindi sa EDSA Service Road.",,You entered the EDSA Service Road instead of the elevated Maharlika Highway.,
end_MaharlikaTitle,20,,Ang galing mo!,,Great!,
end_MaharlikaDescription,21,,Tandaang maghinay sa mga pababa daan dahil madaling maaksidente dito. Magpatuloy sa EDSA.,,Remember to slow down when going down slopes as they are areas prone to road crashes. Continue driving down EDSA.,
bad5_MaharlikaTitle,22,,Susunod na Pagsusubok,,Next Challenge,
bad5_MaharlikaDescription,23,,Magpatuloy lang sa EDSA Service Road at kumanan papuntang K-3rd Street.,,Continue down EDSA Service Road again and take the next right turn to K-3rd Street,
backToStartTitle,24,,Ay nako!,,Uh oh!,
backToStartDescription,25,,Huwag lumiko pa-kaliwa dito. Lumiko sa kanan para makabalik sa simula.,,"You took a left turn. To go back to the stargin position, you should take a right turn instead.",
bad_backToStartTitle,26,,Ay nako!,,Uh oh!,
bad_backToStartDescription,27,,Huwag lumiko pa-kaliwa dito. Lumiko sa kanan para makabalik sa simula.,,"You took a left turn. To go back to the stargin position, you should take a right turn instead.",
k3rdTitle,28,,Susunod na Pagsusubok,,Next Challenge,
k3rdDescription,29,,"Bumalik sa simula uli, baybaying ang K-3rd at KF Streets. Kumanan sa pangalawang likuan.",,Go back to the starting area again by going straight through K-3rd and KF street. Take the 2nd right turn.,
bad1_k3rdTitle,30,,Ay nako!,,Uh oh!,
bad1_k3rdDescription,31,,Huwag lumiko pa-kaliwa dito. Lumiko sa kanan para makabalik sa simula.,,You missed the right turn to K-3rd Street,
bad2_k3rdTitle,32,,Ay nako!,,Uh oh!,
bad2_k3rdDescription,33,,Ang likuang ito ay papunta sa Kamuning Street. Sa susunod pa ang K-3rd Street.,,You took the wrong right turn to Kamuning Street. K-3rd Street is still up ahead.,
bad3_k3rdTitle,34,,Ay nako!,,Uh oh!,
bad3_k3rdDescription,35,,Ang likuang ito ay papunta sa isang kanto na dead end. Sa susunod pa ang K-3rd Street.,,You took the wrong right turn to a small street which leads to a dead end. K-3rd Street is still up ahead.,
bad4_k3rdTitle,36,,Ay nako!,,Uh oh!,
bad4_k3rdDescription,37,,Elevated Maharlika Highway na ito. Manatili sa EDSA Service Road para makapunta sa K-3rd Street.,,You entered the elevated Maharlika Highway. Please stay on the EDSA Service Road to reach K-3rd Street.,
missedTargetTitle,38,,Ay nako!,,Uh oh!,
missedTargetDescription,39,,Huwag masyadong tagalan ang pagpalit ng lane.,,You failed to switch to the proper lane on time.,
