Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,,Basic Scenario - Intersection,,Basic Scenario - Intersection,
description,1,,Pag-aralan ang tamang pagdaan sa intersection. Tandaan na 20kph ang max speed sa intersection. Subukang kumanan sa susunod na intersection.,,"Let's learn how to use the intersection correctly. Note that the max speed in intersections is 20kph. First, Try turning RIGHT on the next intersection.",
rightTurnTitle,2,,Susunod na Pagsusubok,,Next Challenge,
rightTurnDescription,3,,"Tandaan na sa tuwing kakanan sa intersection, dapat nasa kanang lane. Ngayon, bumalik sa intersection at kumaliwa.",,"Remember that when turning right on an intersection, make sure to position yourself on the Right lane.  Next, go back to the intersection and turn LEFT.",
good_rightTurnTitle,4,,Ang galing mo!,,Great Job!,
good_rightTurnDescription,5,,"Tandaan na sa tuwing kakanan sa intersection, dapat nasa kanang lane. Ngayon, bumalik sa intersection at kumaliwa.",,"Remember that when turning right on an intersection, make sure to position yourself on the Right lane.  Next, go back to the intersection and turn LEFT.",
bad1_rightTurnTitle,6,,Ay nako!,,Uh oh!,
bad1_rightTurnDescription,7,,Huwag kalimutang lumiko pa-kanan.,,You missed the right turn!,
bad2_rightTurnTitle,8,,Ay nako!,,Uh oh!,
bad2_rightTurnDescription,9,,"Huwag kalimutang lumiko pa-kanan, hindi pa-kaliwa.",,You performed a left turn instead of a right turn.,
bad3_rightTurnTitle,10,,Ay nako!,,Uh oh!,
bad3_rightTurnDescription,11,,"Huwag kalimutang lumiko pa-kanan, hindi u-turn.",,You performed a u-turn instead of a right turn.,
leftTurnTitle,12,,Susunod na Pagsusubok,,Next Challenge,
leftTurnDescription,13,what,"Tandaan na kapag kakaliwa sa intersection, mas ligtas na pumasok sa inner lane. Ngayon, bumalik sa intersection at mag-u-turn naman.",,"When turning left, prefer merging on the inner lane to minimize possible crashes (e.g. with other vehicles merging via a left turn). Next, return to the Intersection and perform a U-TURN carefully.",
good_leftTurnTitle,14,,Ang galing mo!,,Great Job!,
good_leftTurnDescription,15,what,"Tandaan na kapag kakaliwa sa intersection, mas ligtas na pumasok sa inner lane. Ngayon, bumalik sa intersection at mag-u-turn naman.",,"When turning left, prefer merging on the inner lane to minimize possible crashes (e.g. with other vehicles merging via a left turn). Next, return to the Intersection and perform a U-TURN carefully.",
bad1_leftTurnTitle,16,,Ay nako!,,Uh oh!,
bad1_leftTurnDescription,17,,Huwag kalimutang lumiko pa-kaliwa.,,You missed the left turn!,
bad2_leftTurnTitle,18,,Ay nako!,,Uh oh!,
bad2_leftTurnDescription,19,,"Huwag kalimutang lumiko pa-kaliwa, hindi pa-kanan.",,You performed a right turn instead of a left turn!,
bad3_leftTurnTitle,20,,Ay nako!,,Uh oh!,
bad3_leftTurnDescription,21,,"Huwag kalimutang lumiko pa-kaliwa, hindi u-turn.",,You performed a u-turn instead of a left turn.,
uTurnTitle,22,,Susunod na Pagsusubok,,Next Challenge,
uTurnDescription,23,,"Kagaya ng pagliko sa kanana, mag-u-turn sa inner lane. Ngayon, bumalik muli sa intersection at dumiretso lang.",,"Similar to Right turns, prefer U-turning on the inner lane. Position yourself in the correct lane in advance. Finally, return to the intersection and go straight through it.",
good_uTurnTitle,24,,Ang galing mo!,,Great Job!,
good_uTurnDescription,25,??,"Tandaan na sa tuwing kakanan sa intersection, dapat nasa kanang lane. Ngayon, bumalik sa intersection at kumaliwa.",,"Remember that when turning right on an intersection, make sure to position yourself on the Right lane.  Next, go back to the intersection and turn LEFT.",
bad1_uTurnTitle,26,,Ay nako!,,Uh oh!,
bad1_uTurnDescription,27,,"Huwag kalimutang mag u-turn, hindi lumiko pa-kaliwa.",,You performed a left turn instead of a u-turn!,
bad2_uTurnTitle,28,,Ay nako!,,Uh oh!,
bad2_uTurnDescription,29,,Huwag kalimutang mag u-turn.,,You missed the u- turn!,
bad3_uTurnTitle,30,,Ay nako!,,Uh oh!,
bad3_uTurnDescription,31,,"Huwag kalimutang mag u-turn, hindi lumiko pa-kanan.",,You performed a right turn instead of a u-turn!,
straightTitle,32,,Susunod na Pagsusubok,,Next Challenge,
straightDescription,33,,"Tandaan na sundin ang traffic lights kapag meron. Kung wala, magmaneho nang mahinahon at maging mapagmasid sa ibang kotse sa daan.",,"For intersections with traffic lights, make sure to follow the signals. Otherwise, drive carefully and observe if there are oncoming vehicles before proceeding.",
endTitle,34,,Ang galing mo!,,Great Job!,
endDescription,35,,"Tandaan na sundin ang traffic lights kapag meron. Kung wala, magmaneho nang mahinahon at maging mapagmasid sa ibang kotse sa daan.",,"For intersections with traffic lights, make sure to follow the signals. Otherwise, drive carefully and observe if there are oncoming vehicles before proceeding.",
