Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,,BASIC SCENARIO - Multilane Road,,BASIC SCENARIO - Multilane Road,
description,1,,"Upang makaliko nang ligtas, sumilip sa salamin, i-signal ang pagliko, sumilip muli sa salamin, at sumilip sa likod (head check) para sa blind spots. Lumipat sa lane sa kanan mo.",,"To change lanes/turn safely, first check your mirrors, signal your intended direction, check your mirror again, and perform a head check. Start by changing to the next lane on the right.",
objective,2,,Lumipat sa kanang lane sa ligtas na pamamaraan,,Change lane to the right safely,
changeLane1Title,3,,Ang Galing!,,Great!,
changeLane1Description,4,,Lumipat muli sa sumunod na kanang lane.,,Try Changing to the next lane on the right again,
bad_changeLane1Title,5,,Hala!,,Uh oh!,
bad_changeLane1Description,6,,Huwag masyadong matagalan sa paglipat ng lane.,,You failed to switch to the proper lane on time.,
changeLane2Title,7,,Ang Galing!,,Great!,
changeLane2Description,8,,"Ngayon, subukan mong bumalik sa motorcycle lane (may mga asul na linya).",,Now try going back to the Motorcycle lane (with blue lines),
bad_changeLane2Title,9,,Hala!,,Uh oh!,
bad_changeLane2Description,10,,Huwag masyadong matagalan sa paglipat ng lane.,,You failed to switch to the proper lane on time.,
motorLaneTitle,11,,Ang Galing!,,Great!,
motorLaneDescription,12,,Pumunta muli sa lane sa kanan mo.,,Go back to the adjacent lane on the right again.,
bad_motorLaneTitle,13,,Hala!,,Uh oh!,
bad_motorLaneDescription,14,,Huwag masyadong matagalan sa paglipat ng lane.,,You failed to switch to the proper lane on time.,
rightTitle,15,,Ang Galing!,,Great!,
rightDescription,16,,"At bilang panghuli, pumunta sa pinaka-kaliwang lane.",,"Finally, go to the leftmost lane.",
bad_rightTitle,17,,Hala!,,Uh oh!,
bad_rightDescription,18,,Huwag masyadong matagalan sa paglipat ng lane.,,You failed to switch to the proper lane on time.,
leftmostTitle,19,,Ang Galing!,,Great!,
leftmostDescription,20,,Ang galing mo! Alam mo na kung paano ang paglipat ng lanes nang maayos.,,Great job! You now know how to change lanes properly.,
bad_leftmostTitle,21,,Hala!,,Uh oh!,
bad_leftmostDescription,22,,Huwag masyadong matagalan sa paglipat ng lane.,,You failed to switch to the proper lane on time.,
missedTitle,23,,Hala!,,Uh oh!,
missedDescription,24,,Huwag masyadong matagalan sa paglipat ng lane.,,You failed to switch to the proper lane on time.,
