Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,,TUTORIAL,,TUTORIAL,
description,1,,Hilain pababa ang pihitan sa kanan ng screen para bumilis ang takbo (accelerate).,,Pull down the throttle on the right to accelerate forward.,
objective,2,,Bilisan ang Takbo,,Accelerate Forward,
rightTurnTitle,3,,Lumiko pa-Kanan,,Turning Right,
rightTurnDescription,4,,"Para mag-signal ng liko, igilid pa-kanan ang blinker sa ibabang kaliwa ng screen. Subukan mong itabingi ang screen para lumiko.",,Toggle the blinker on the lower left to the right. And tilt the device to the right to turn.,
rightTurnObjective,5,,Lumiko pa-Kanan,,Turn Right,
rightBlinkerTitle,6,,Gamitin ang Blinker pang-Signal!,,You forgot to turn on your blinker!,
rightBlinkerDescription,7,,"Dapat naka-bukas na ang kanang blinker mo dito. Para gawin ito, igilid pa-kanan ang blinker sa babang kaliwa ng screen.",,"By this point, you should already have your right blinker on. Pull the slider to the right.",
leftTurnTitle,8,,Kaliwang Likuan,,Turning Left,
leftTurnDescription,9,,Hilain naman pa-kaliwa ang blinker. Itabingi ang phone pa-kaliwa upang lumiko.,,Toggle the blinker on the lower left to the left. And tilt the device to the left to turn.,
leftTurnObjective,10,,Lumiko pa-Kaliwa,,Turn Left,
leftBlinkerTitle,11,,Gamitin ang Blinker pang-Signal!,,You forgot to turn on your blinker!,
leftBlinkerDescription,12,,"Dapat naka-bukas na ang kaliwang blinker mo dito. Para gawin ito, hilain pa-kaliwa ang blinker sa babang kaliwa ng screen.",,"By this point, you should already have your left blinker on. Pull the slider to the left.",
leftHeadCheckTitle,13,,Sumilip sa Kaliwa (Left Head Check),,Do A Left Head Check,
leftHeadCheckDescription,14,,"Upang masilip ang blindspots mo sa kaliwa, matagal na pindutin (i-hold) ang left head check button (pindutan na may ulong nakaharap sa kaliwa).",,Hold the button with the head icon looking to the left to do a left head check.,
leftHeadCheckObjective,15,,Sumilip sa Kaliwa (Left Head Check),,Do A Left Head Check,
bad_leftHeadCheckTitle,16,,Hala! Hindi ka Sumisilip sa Kaliwa!,,Oops! You are not performing a left head check,
bad_leftHeadCheckDescription,17,,Matagal na pindutin (i-hold) ang left head check button upang tumagal ang pagsilip sa kaliwa. Subukan mong paabutin ito hanggang sa sunod na checkpoint.,,Hold the head check position until the next checkpoint by holding the left button.,
forwardHeadCheckTitle,18,,Pagbalik ng Tingin sa Harap,,Looking Forward,
forwardHeadCheckDescription,19,,Bitawan ang head check button upang tumingin muli sa harap.,,"To finish your left head check, let go of the left button to look ahead again.",
forwardHeadCheckObjective,20,,Tumigin sa Harap,,Look Forward,
bad_forwardHeadCheckTitle,21,,"Hala! Tumingin rin sa harap, sa daan.",,Oops! You have to keep your eyes on the road!,
bad_forwardHeadCheckDescription,22,,Delikado ang masyadong matagal na pagsilip sa likod. Bitawan na ang head check button.,,Looking at your blindspots for too long can be dangerous since you can't see what's in front of you. Let go of the button to look ahead.,
rightHeadCheckTitle,23,,Sumilip sa Kanan (Right Head Check),,Do A Right Head Check,
rightHeadCheckDescription,24,,Hanapin naman ang right head check button (pindutan na may ulong nakaharap sa kanan).,,Hold the button with the head icon looking to the right to do a right head check.,
rightHeadCheckObjective,25,,Sumilip sa Kanan (Right Head Check),,Do A Right Head Check,
bad_rightHeadCheckTitle,26,,Hala! Hindi ka Sumisilip sa Kanan!,,Oops! You are not performing a right head check,
bad_rightHeadCheckDescription,27,,Matagal na pindutin (i-hold) ang right head check button upang tumagal ang pagsilip sa kanan. Subukan mong paabutin ito hanggang sa sunod na checkpoint.,,Hold the head check position until the next checkpoint by holding the right button.,
brakingTitle,28,,Paghinto (Pagbrake),,Braking,
brakingDescription,29,,"Malapit na tayo matapos! Upang huminto, pindutin ang likod (rear) o harap (front) na brake sa itaas na bahagi ng screen.",,Almost done! Just need to brake. Press down either the Rear or Front Brake at the top to stop.,
brakingObjective,30,,Huminto sa berdeng lapag.,,Brake on the green marking,
endTitle,31,,Good Job,,Good Job,
endDescription,32,,Nagawa mo!,,You did it!,
endObjective,33,,Congratulations,,Congratulations,
