Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
collisionTitle,0,collision,Hala!,,Uh oh!,
collisionDescription,1,collision (0 is collider),Bumanga ka sa {0}. Tandaan na kontrolin ang bilis at direksyon ng pagtakbo.,,You collided with {0}. Remember to control your speed and direction.,
collider1,2,collision,harang sa daan,,an obstacle on the side of the road,
collider2,3,collision,tabi ng daan,,the side of the road,
collider3,29,collision,isang sasakyan,,another vehicle,
isVehicle,4,collision,Panatiliing may malaking pagitan (na isang kotse ang haba) sa kotse sa harap.,,"When driving, maintain a minimum of 1 car length away from other vehicles.",
speedLimitErrorTitle,5,speed limit (0 is speed limit),Lumampas ka sa {0} kph Speed Limit!,,You have exceeded the {0} kph speed limit!,
speedLimitErrorText,6,speed limit,Bantayan palagi ang iyong Speedometer.,,Make sure to keep an eye on your speedometer.,
blinkerTitle,7,blinker,Patayin ang Blinker.,,You forgot to cancel your blinker.,
blinkerDescription,8,blinker (0 is blinker name),Patayin ang {0} blinker kapag tapos mo na ito gamitin sa pagliko.,,Make sure to cancel your {0}  after performing a turn.,
headCheckTitle,9,head check,Hala!,,Uh oh!,
headCheckAfterBlinker,10,head check (0 is blinker name),Mag-head check ka parin kahit nagsignal ka na gamit ang {0}.,,Make sure to perform a head check even after you use your {0}.,
headCheckBeforeTurn,11,head check,Mag-head check bago magpalit ng lane o lumiko.,,Make sure to perform a head check right before changing lanes or turning.,
blinkerErrorTitle,30,blinker,Hala!,,Uh oh!,
wrongBlinkerDescription,31,blinker (0 is blinker name),Ginamit mo ang {0} mo sa kabilang direksyon!,,You used the {0} for the opposite direction!,
noBlinkerDescription,32,blinker (0 is blinker name),Hindi mo ginamit ang {0} mo bago magpalit ng lane o lumiko.,,You did not use your {0} before changing lanes or turning.,
tooLongToTurnTitle,12,turn,Hala!,,Uh oh!,
tooLongToTurnDescription,13,turn (0 is turn direction),Hindi mo binigyan ng sapat na oras mapansin ng ibang tao ang iyong {0}. Dapat na mag-signal 5 segundo bago gawin ang aksyon.,,You did not give ample time for other road users to react to your {0}. It is recommended to indicate your intent 5s before the action (e.g. lane change).,
intersectionTitle,14,intersection,Mali ang pagdaan mo sa Intersection.,,You used the intersection incorrectly!,
intersectionWrongWay,15,intersection,Wrong Way,,Wrong Way,
intersectionRedLight,16,intersection,"Nako! Pumasok ka sa intersection nang pula ang traffic light. Hangga't di pa pula, maghintay muna sa likod ng stop line (puti).",,Oops! You entered the intersection while the traffic light was on red. Make sure to stop right before the stop line (white).,
intersectionLeftLaneLeftTurn,17,intersection,"Maganda yung pagliko mo sa kaliwa, pero dapat pumasok ka sa inner lane para mas safe.",,"Left Turn Ok, but stay on inner lane to minimize risk of crashes (e.g. vehicles turning right)",
intersectionLeftLaneRightTurn,18,intersection,"Bago ka lumiko sa kanan, manatili sa kanang lane.",,"When turning right, position your vehicle on the right lane in advance.",
intersectionLeftLaneUTurn,19,intersection,"Maganda yung pag-U-turn mo, pero dapat pumasok ka sa inner lane para mas safe.",,"U-Turn Ok, but stay on inner lane.",
intersectionRightLaneLeftTurn,20,intersection,"Bago ka lumiko sa kaliwa, manatili sa kaliwang lane.",,"When turning left, position your vehicle on the left lane in advance.",
intersectionRightLaneRightTurn,21,intersection,"Maganda yung pagliko mo sa kanan, pero dapat pumasok ka sa inner lane para mas safe.",,"Right Turn Ok, but stay on inner lane to minimize risk of crashes (e.g. vehicles turning left).",
intersectionRightLaneUTurn,22,intersection,"Maganda yung pag-U-turn mo, pero dapat manatili sa inner lane para mas safe.",,"U-Turn Ok, but stay on inner lane.",
badLaneTitle,23,switch to bad lane,Hala!,,Uh oh!,
badLaneBus,24,switch to bad lane (bus),Ang bus lane ay para lamang sa public utility buses (PUBs) at ambulansya o government vehicles na rumerespunda sa emergencies.,,The Bus lane is only for public utility buses (PUBs) and ambulances or goverment vehicles responding to emergencies.,
badLaneBike,25,switch to bad lane (motor to bike),Hindi pwede ang mga motorsiklo sa mga bike lane tulad nito.,,Motorcycles are not allowed on the Bike Lane!,
badLaneMotor,26,switch to bad lane (bike to motor),Hindi pwede ang mga bisekleta sa mga motorcycle lane tulad nito.,,Bicycles are not allowed in this lane which is used by motored vehicles.,
solidLineTitle,27,illegal lane change,Mali ang pagdaan mo sa Intersection.,,You used the intersection incorrectly,
solidLineDescription,28,illegal lane change,Hindi ka pwedeng magpalit ng lane kapag solid lines ang pumapagitan sa lanes (pwede lamang kapag dotted lines).,,You are not allowed to change lane when the lines between the lanes are solid lines (they must be dotted lines).,
userMistakeLimitTitle,29,score reached zero,Naubos na ang iyong score,,Your score reached zero,
userMistakeLimitDescription,30,score reached zero,"Hala! Naubos na ang score na ibinigay sa iyo, iwasang magkaroon ng mga pagkakamali sa pagmamaneho.",,Uh oh! The score allotted to this round has been consumed. Avoid doing driving mistakes.,
