Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
initialPrompt,0,,PINDUTIN PARA MAGSIMULA,,TOUCH ANYWHERE TO START,
play,1,same,PLAY,,PLAY,
statistics,2,same,PLAYER STATISTICS,,PLAYER STATISTICS,
settings,3,same,SETTINGS,,SETTINGS,
back,4,,BUMALIK,,BACK,
selectVehicle,5,,PUMILI NG SASAKYAN,,SELECT VEHICLE,
motorcycle,6,,MOTORSIKLO,,MOTORCYCLE,
bicycle,7,,BISIKLETA,,BICYCLE,
selectMode,8,,PUMILI NG MODE,mixed,SELECT MODE,
tutorial,9,same,TUTORIAL,,TUTORIAL,
basicScenario,10,same,BASIC,,BASIC,
advancedScenario,11,same,ADVANCED,,ADVANCED,
selectBasicScenario,12,,PUMILI NG BASIC NA SENARYO,mixed,SELECT BASIC SCENARIO,
straightRoad,13,,STRAIGHT NA DAAN,,STRAIGHT ROAD,
intersection,14,same,INTERSECTION,,INTERSECTION,
uTurn,15,same,U-TURN,,U-TURN,
multilane,16,same,MULTILANE,,MULTILANE,
selectAdvancedScenario,17,,PUMILI NG ADVANCED NA SENARYO,mixed,SELECT ADVANCED SCENARIO,
commonwealth,18,same,COMMONWEALTH,,COMMONWEALTH,
edsa,19,same,EDSA,,EDSA,
