Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,,BASIC SCENARIO - Multilane Road,,BASIC SCENARIO - Multilane Road,
description,1,,"Para makaliko nang ligtas: sumilip sa salamin, i-signal ang pagliko, sumilip muli sa salamin, at sumilip sa likod (head check) para sa blind spots. Lumipat sa lane sa kanan mo.",,"To change lanes/turn safely, first check your mirrors, signal your intended direction, check your mirror again, and perform a head check. Start by changing to the next lane on the right.",
objective,2,,Lumipat sa kanang lane sa ligtas na pamamaraan,,"Change lane to the right safely (check mirror, signal, mirror again, head check, go)",
changeLane1Title,3,,Ang galing mo!,,Great!,
changeLane1Description,4,,Lumipat muli sa sumunod na kanang lane.,,"Try changing to the next lane on the right again (check mirror, signal, mirror again, head check, go)",
changeLane1Objective,25,<- late insert,Lumipat sa sumunod na kanang lane,,Go to the lane on the right again,
bad_changeLane1Title,5,,Hala!,,Uh oh!,
bad_changeLane1Description,6,,Hindi ka nakalipat sa tamang lane.,,You failed to switch to the proper lane on time.,
changeLane2Title,7,,Ang galing mo!,,Great!,
changeLane2Description,8,,"Ngayon, subukan mong bumalik sa motorcycle lane (may mga blue na linya sa daan).",,Now try going back to the motorcycle lane (with blue lines),
changeLane2Objective,26,<- late insert,Bumalik sa motocycle lane (mga blue na linya),,Go back to the motorcycle lane (with bliue lines),
bad_changeLane2Title,9,,Hala!,,Uh oh!,
bad_changeLane2Description,10,,Hindi ka nakalipat sa tamang lane.,,You failed to switch to the proper lane on time.,
motorLaneTitle,11,,Ang galing mo!,,Great!,
motorLaneDescription,12,,Pumunta uli sa lane sa kanan mo.,,Go back to the adjacent lane on the right again.,
motorLaneObjective,27,<- late insert,Lumipat sa lane sa kanan mo,,Go to the lane on the right,
bad_motorLaneTitle,13,,Hala!,,Uh oh!,
bad_motorLaneDescription,14,,Hindi ka nakalipat sa tamang lane.,,You failed to switch to the proper lane on time.,
rightTitle,15,,Ang galing mo!,,Great!,
rightDescription,16,,Ito na ang huling pagsubok mo: pumunta sa pinaka-kaliwang lane.,,"Finally, go to the leftmost lane.",
rightObjective,28,<- late insert,Pumunta sa pinaka-kaliwang lane,,Reach the leftmost lane,
bad_rightTitle,17,,Hala!,,Uh oh!,
bad_rightDescription,18,,Hindi ka nakalipat sa tamang lane.,,You failed to switch to the proper lane on time.,
leftmostTitle,19,,Ang galing mo!,,Great!,
leftmostDescription,20,,Napakagaling mo! Alam mo na kung paano ang paglipat ng lanes nang ligtas at maayos.,,Great job! You now know how to change lanes properly.,
bad_leftmostTitle,21,,Hala!,,Uh oh!,
bad_leftmostDescription,22,,Hindi ka nakalipat sa tamang lane.,,You failed to switch to the proper lane on time.,
missedTitle,23,,Hala!,,Uh oh!,
missedDescription,24,,Hindi ka nakalipat sa tamang lane.,,You failed to switch to the proper lane on time.,
