Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,,TUTORIAL,,TUTORIAL,
description,1,,Hilain pababa ang pihitan sa kanan ng screen para bumilis ang takbo (accelerate).,,Pull down the throttle on the right to accelerate forward.,
objective,2,,Dumiretso,,Accelerate Forward,
rightTurnTitle,3,,Lumiko sa Kanan (right),,Turning Right,
rightTurnDescription,4,,"Para mag-signal ng liko, galawin ang blinker controls sa lower left ng screen mo. Para naman lumiko, itabingi ang phone sa kanan.",,Toggle the blinker on the lower left to the right. And tilt the device to the right to turn.,
rightTurnObjective,5,,"Mag-signal ng right turn gamit ang blinker, at lumiko",,Turn Right,
rightBlinkerTitle,6,,Gamitin mo ang Blinker pang-signal ng liko!,,You forgot to turn on your blinker!,
rightBlinkerDescription,7,,Dapat naka-bukas na ang kanang blinker mo dito. Hanapin sa lower left ng screen ang blinker controls.,,"By this point, you should already have your right blinker on. Pull the slider to the right.",
leftTurnTitle,8,,Lumiko sa Kaliwa (left),,Turning Left,
leftTurnDescription,9,,Hilain naman pa-kaliwa ang blinker. Itabingi ang phone sa kaliwa upang lumiko.,,Toggle the blinker on the lower left to the left. And tilt the device to the left to turn.,
leftTurnObjective,10,,"Mag-signal ng left turn gamit ang blinker, at lumiko",,Turn Left,
leftBlinkerTitle,11,,Nakalimutan mong gamitin ang Blinker pang-signal ng liko!,,You forgot to turn on your blinker!,
leftBlinkerDescription,12,,"Dapat naka-bukas na ang kaliwang blinker mo dito. Para gawin ito, hanapin sa lower left ng screen ang blinker controls.",,"By this point, you should already have your left blinker on. Pull the slider to the left.",
leftHeadCheckTitle,13,,Left Head Check,,Do A Left Head Check,
leftHeadCheckDescription,14,,"Para makita ang blindspots mo sa kaliwa, pindutin ang left head check button na makikita sa kaliwa ng screen.",,Hold the button with the head icon looking to the left to do a left head check.,
leftHeadCheckObjective,15,,Sumilip sa kaliwang blind spot hanggang sa sunod na checkpoint,,Do A Left Head Check,
bad_leftHeadCheckTitle,16,,Hala! Hindi ka sumisilip sa kaliwa!,,Oops! You are not performing a left head check,
bad_leftHeadCheckDescription,17,this part in gameplay doesn’t make sense might remove,Matagal na i-hold ang left head check button para humaba ang pagsilip. Paabutin mo ito hanggang sa sunod na checkpoint.,,Hold the head check position until the next checkpoint by holding the left button.,
forwardHeadCheckTitle,18,,Tumingin sa Harap,,Looking Forward,
forwardHeadCheckDescription,19,,Bitawan ang head check button para tumingin muli sa harap.,,"To finish your left head check, let go of the left button to look ahead again.",
forwardHeadCheckObjective,20,,Bitawan ang head check button para tumingin sa harap.,,Look Forward,
bad_forwardHeadCheckTitle,21,,Hala! Tumingin ka rin naman sa harap.,,Oops! You have to keep your eyes on the road!,
bad_forwardHeadCheckDescription,22,,Delikado ang masyadong matagal na pagsilip sa likod. Bitawan na muna ang head check button.,,Looking at your blindspots for too long can be dangerous since you can't see what's in front of you. Let go of the button to look ahead.,
rightHeadCheckTitle,23,,Right Head Check,,Do A Right Head Check,
rightHeadCheckDescription,24,,"Hanapin at subukan naman ang right head check button, sa kaliwang bahagi rin ng screen.",,Hold the button with the head icon looking to the right to do a right head check.,
rightHeadCheckObjective,25,,"Sumilip sa kanang blind spot, hanggang sa sunod na checkpoint",,Do A Right Head Check,
bad_rightHeadCheckTitle,26,,Hala! Hindi ka sumisilip sa kanan!,,Oops! You are not performing a right head check,
bad_rightHeadCheckDescription,27,this part in gameplay doesn’t make sense might remove,Matagal na pindutin ang right head check button. Paabutin ito hanggang sa sunod na checkpoint.,,Hold the head check position until the next checkpoint by holding the right button.,
brakingTitle,28,,Paggamit ng Brakes sa Paghinto,,Braking,
brakingDescription,29,,"Malapit na tayo matapos! Para huminto, pindutin ang likod (""rear"") o harap (""front"") na brake, na makikita sa baba ng iyong side mirrors sa screen.",,Almost done! Just need to brake. Press down either the Rear or Front Brake at the top to stop.,
brakingObjective,30,,Gamitin ang brakes para huminto sa checkpoint,,Brake on the green marking,
endTitle,31,,Good Job,,Good Job,
endDescription,32,,Nagawa mo!,,You did it!,
endObjective,33,,Congratulations,,Congratulations,
